seed,x_cells,y_cells,area_cells,solute_mass
0,311.9282,59.2039,64,3.888314
0,801.6797,57.4296,33,1.612803
0,560.6054,61.4774,129,11.416447
0,910.6362,57.6966,21,0.713911
0,703.8359,61.5308,88,6.729561
0,271.2270,62.4536,76,5.318057
0,294.0175,66.0755,155,12.432859
0,814.5887,62.1310,74,4.930957
0,743.7162,64.7092,111,8.973229
0,773.3360,64.0599,93,7.057787
0,82.9492,63.2170,34,1.510320
0,511.2398,65.0761,112,9.349820
0,659.3576,63.2557,35,1.702201
0,23.1086,65.2364,64,4.007317
0,158.7502,66.5239,108,8.644432
0,44.4289,67.6414,119,9.649021
0,337.2212,65.5981,60,3.943407
0,393.1868,67.5757,105,8.326531
0,455.1650,68.6236,131,10.937421
0,97.4546,66.8214,58,3.683103
0,478.7061,67.9167,107,8.939266
0,494.9485,65.7364,26,1.076316
0,849.8421,69.5716,122,10.307047
0,118.8368,67.1642,49,2.771585
0,424.1844,69.5364,101,8.078358
0,724.1003,70.7339,130,10.564379
0,923.0429,70.0354,123,10.190039
0,237.0131,67.7186,41,2.027069
0,545.5495,68.5123,41,2.054382
0,685.1237,69.9927,99,7.762773
0,791.8818,68.7024,71,4.902779
0,138.0931,73.0646,135,11.118316
0,642.7041,71.9716,133,11.612834
0,7.9158,71.7848,78,5.720905
0,320.8649,71.4391,85,5.873009
0,869.6852,70.7671,54,3.340541
0,885.0715,70.3203,57,3.412256
0,969.5128,72.7081,188,13.241145
0,1010.9659,70.8903,69,4.712011
0,183.8078,73.4483,153,13.358939
0,609.0067,72.6470,78,5.356415
0,831.0460,71.4558,58,3.656375
0,590.0236,76.1278,138,11.331984
0,623.1663,72.8683,68,4.627166
0,944.3486,80.4009,171,12.586789
0,363.6818,75.6289,129,10.869850
0,991.2606,72.6115,36,1.797859
0,65.0216,75.1712,146,10.403661
0,259.6807,76.4425,104,8.171778
0,530.8616,78.9013,134,8.175827
0,204.5239,77.1333,86,6.302994
0,700.6960,76.6578,68,4.546002
0,664.7238,82.9107,189,13.667985
0,760.0386,79.8033,145,13.031515
0,406.9633,78.8150,73,5.379387
0,109.7010,78.4056,46,2.390744
0,439.9624,82.1233,131,11.299218
0,894.1070,81.2487,91,6.656066
0,90.4909,86.9938,191,16.306897
0,234.1989,80.8542,48,2.626268
0,495.4059,80.6394,56,3.614620
0,817.9917,81.8335,91,6.588744
0,32.8147,83.0738,109,9.099425
0,568.5080,82.8928,94,7.399213
0,219.9032,84.7311,108,8.786302
0,274.3114,82.8775,51,3.002152
0,338.8887,84.5968,127,11.080052
0,385.9210,84.1526,97,7.605141
0,777.6326,83.5342,73,4.826120
0,910.8846,84.2878,97,7.542343
0,160.4106,84.0488,70,4.733068
0,860.9037,85.3525,102,8.119903
0,298.8477,87.2883,168,14.309291
0,740.9561,86.8113,110,9.389762
0,997.4987,86.0866,85,6.203135
0,13.0227,87.4488,99,7.514924
0,513.7444,89.4961,138,10.707596
0,549.7911,86.2528,89,6.687438
0,838.8113,87.2325,86,6.437769
0,1015.5932,87.0422,106,8.826493
0,247.4859,87.8003,94,6.988889
0,468.9432,87.2813,165,12.089936
0,797.2061,88.6050,146,12.708544
0,121.0330,88.4128,91,7.011745
0,628.8230,91.9484,180,13.116404
0,419.4070,90.1507,116,9.576774
0,928.1521,88.1966,42,2.400168
0,143.5973,90.0113,61,4.050819
0,709.6996,90.8903,83,5.620866
0,53.0191,91.5147,62,4.206575
0,71.2573,91.7435,81,5.975933
